"","year","sea_level","temp","ch4","n2o","co2","sf6","s_ice_ext_anom","urb_pc","l_ice_mass_anom","water_cons","oc_h_anom","co2_emiss","elnino_anom_c","total"
"1",1880,0,8.11875,NA,NA,NA,NA,NA,15.4378569920858,NA,NA,NA,NA,NA,NA
"2",1881,0.220472441,8.27091666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1882,-0.440944881,8.12891666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1883,-0.232283464,7.97691666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1884,0.590551181,7.77366666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1885,0.531496062,7.91966666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1886,0.437007874,7.9545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1887,0.216535433,7.91491666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1888,0.299212598,8.0905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1889,0.362204724,8.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1890,0.440944881,7.97166666666667,NA,NA,NA,NA,NA,28.7879835211712,NA,NA,NA,NA,NA,NA
"12",1891,0.374015748,8.01933333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1892,0.499999999,8.06583333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1893,0.685039369,8.05675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1894,0.303149606,8.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1895,0.767716535,8.147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1896,0.468503937,8.21491666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1897,0.673228346,8.29333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1898,1.043307086,8.178,NA,NA,NA,NA,NA,11.9,NA,NA,NA,NA,NA,NA
"20",1899,1.338582676,8.39633333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1900,1.125984251,8.50158333333333,NA,NA,NA,NA,NA,17.0573260322694,NA,NA,NA,NA,NA,NA
"22",1901,1.110236219,8.54191666666667,NA,NA,NA,NA,NA,NA,NA,671306983873,NA,NA,NA,NA
"23",1902,1.291338581,8.30441666666667,NA,NA,NA,NA,NA,NA,NA,685160582511,NA,NA,NA,NA
"24",1903,1.606299211,8.22016666666667,NA,NA,NA,NA,NA,13,NA,655134883737,NA,NA,NA,NA
"25",1904,1.2007874,8.09091666666667,NA,NA,NA,NA,NA,NA,NA,699576268956,NA,NA,NA,NA
"26",1905,0.984251968,8.22516666666667,NA,NA,NA,NA,NA,NA,NA,700946862061,NA,NA,NA,NA
"27",1906,1.251968503,8.37908333333333,NA,NA,NA,NA,NA,NA,NA,696602977599,NA,NA,NA,NA
"28",1907,1.196850392,7.94716666666667,NA,NA,NA,NA,NA,NA,NA,731144772386,NA,NA,NA,NA
"29",1908,1.098425196,8.18608333333333,NA,NA,NA,NA,NA,14.5,NA,719471701227,NA,NA,NA,NA
"30",1909,1.27559055,8.17825,NA,NA,NA,NA,NA,NA,NA,728901391069,NA,NA,NA,NA
"31",1910,1.271653542,8.223,NA,NA,NA,NA,NA,21.3077602386475,NA,721299647144,NA,NA,NA,NA
"32",1911,1.598425195,8.177,NA,NA,NA,NA,NA,NA,NA,745680720540,NA,NA,NA,NA
"33",1912,1.476377951,8.16541666666667,NA,NA,NA,NA,NA,NA,NA,767006346937,NA,NA,NA,NA
"34",1913,1.547244093,8.29775,NA,NA,NA,NA,NA,15.6,NA,815330197706,NA,NA,NA,NA
"35",1914,1.795275589,8.5905,NA,NA,NA,NA,NA,NA,NA,786612865433,NA,NA,NA,NA
"36",1915,2.10629921,8.59316666666667,NA,NA,NA,NA,NA,NA,NA,795361689794,NA,NA,NA,NA
"37",1916,2.031496061,8.22525,NA,NA,NA,NA,NA,NA,NA,787231952020,NA,NA,NA,NA
"38",1917,1.854330707,8.02333333333333,NA,NA,NA,NA,NA,NA,NA,775639802130,NA,NA,NA,NA
"39",1918,1.791338581,8.13083333333333,NA,NA,NA,NA,NA,NA,NA,866090893167,NA,NA,NA,NA
"40",1919,1.854330707,8.38225,NA,NA,NA,NA,NA,NA,NA,836046221526,NA,NA,NA,NA
"41",1920,1.905511809,8.35875,NA,NA,NA,NA,NA,22.9101431710379,NA,884507213764,NA,NA,NA,NA
"42",1921,1.988188974,8.571,NA,NA,NA,NA,NA,NA,NA,843070029162,NA,NA,NA,NA
"43",1922,1.952755904,8.408,NA,NA,NA,NA,NA,NA,NA,871840024725,NA,NA,NA,NA
"44",1923,1.999999998,8.42216666666667,NA,NA,NA,NA,NA,NA,NA,871314812056,NA,NA,NA,NA
"45",1924,1.712598423,8.50683333333333,NA,NA,NA,NA,NA,NA,NA,889083480856,NA,NA,NA,NA
"46",1925,1.791338581,8.53441666666667,NA,NA,NA,NA,NA,21.6,NA,924787108685,NA,NA,NA,NA
"47",1926,2.047244092,8.72883333333333,NA,NA,NA,NA,NA,NA,NA,897784782426,NA,NA,NA,NA
"48",1927,2.003937006,8.52208333333333,NA,NA,NA,NA,NA,NA,NA,942226756274,NA,NA,NA,NA
"49",1928,1.850393699,8.63216666666667,NA,NA,NA,NA,NA,NA,NA,948217636750,NA,NA,NA,NA
"50",1929,1.905511809,8.24241666666667,NA,NA,NA,NA,NA,NA,NA,971752096730,NA,NA,NA,NA
"51",1930,2.062992124,8.63358333333333,NA,NA,NA,NA,NA,25.7376496451242,NA,953917032232,NA,NA,NA,NA
"52",1931,2.047244092,8.71925,NA,NA,NA,NA,NA,NA,NA,933752708438,NA,NA,NA,NA
"53",1932,2.271653541,8.70525,NA,NA,NA,NA,NA,NA,NA,975080407692,NA,NA,NA,NA
"54",1933,2.440944879,8.33825,NA,NA,NA,NA,NA,NA,NA,947880055696,NA,NA,NA,NA
"55",1934,2.228346454,8.62833333333333,NA,NA,NA,NA,NA,NA,NA,1001227847427,NA,NA,NA,NA
"56",1935,2.448818895,8.51575,NA,NA,NA,NA,NA,32.7,NA,1017967168166,NA,NA,NA,NA
"57",1936,2.295275588,8.554,NA,NA,NA,NA,NA,NA,NA,1030140139854,NA,NA,NA,NA
"58",1937,2.519685037,8.69833333333333,NA,NA,NA,NA,NA,NA,NA,1037521711280,NA,NA,NA,NA
"59",1938,2.622047241,8.86366666666667,NA,NA,NA,NA,NA,NA,NA,1068636917459,NA,NA,NA,NA
"60",1939,2.826771651,8.76033333333333,NA,NA,NA,NA,NA,NA,NA,1101694892511,NA,NA,NA,NA
"61",1940,2.618110234,8.76466666666667,NA,NA,NA,NA,NA,47.1116062164307,NA,1110057100858,NA,NA,NA,NA
"62",1941,3.098425194,8.76866666666667,NA,NA,NA,NA,NA,NA,NA,1127967315874,NA,NA,NA,NA
"63",1942,3.098425194,8.72841666666667,NA,NA,NA,NA,NA,NA,NA,1118901725058,NA,NA,NA,NA
"64",1943,3.098425194,8.75508333333333,NA,NA,NA,NA,NA,NA,NA,1138661531039,NA,NA,NA,NA
"65",1944,2.84645669,8.845,NA,NA,NA,NA,NA,NA,NA,1142668949683,NA,NA,NA,NA
"66",1945,2.95669291,8.58483333333333,NA,NA,NA,NA,NA,27.8,NA,1141481848418,NA,NA,NA,NA
"67",1946,3.251968501,8.67691666666667,NA,NA,NA,NA,NA,NA,NA,1177734201509,NA,NA,NA,NA
"68",1947,3.374015745,8.79708333333333,NA,NA,NA,NA,NA,NA,NA,1178084072050,NA,NA,NA,NA
"69",1948,3.562992122,8.74675,NA,NA,NA,NA,NA,NA,NA,1183911222473,NA,NA,NA,NA
"70",1949,3.51181102,8.58675,NA,NA,NA,NA,NA,NA,NA,1193998559818,NA,NA,NA,NA
"71",1950,3.598425193,8.36525,NA,NA,NA,NA,NA,32.9006203804396,NA,1226581492652,NA,NA,-0.86,NA
"72",1951,3.972440941,8.62566666666667,NA,NA,NA,NA,NA,33.3599591622053,NA,1328106361712,NA,NA,0.430833333333333,NA
"73",1952,3.870078736,8.63825,NA,NA,NA,NA,NA,33.8205305487334,NA,1379031417592,NA,NA,0.174166666666667,NA
"74",1953,4.043307082,8.87375,NA,NA,NA,NA,NA,34.2894772855865,NA,1373804788386,NA,NA,0.713333333333333,NA
"75",1954,3.929133854,8.56066666666667,NA,NA,NA,NA,NA,34.7658550467819,NA,1372677661659,NA,NA,-0.400833333333333,NA
"76",1955,3.964566925,8.62625,NA,NA,NA,NA,NA,35.2540559527414,NA,1424773252538,-0.112888,NA,-0.948333333333333,NA
"77",1956,3.763779524,8.27958333333333,NA,NA,NA,NA,NA,35.7501870342057,NA,1457353328546,-4.435912,NA,-0.5775,NA
"78",1957,4.291338578,8.7325,NA,NA,NA,NA,NA,36.2444836997374,NA,1567294694315,-5.5812,NA,0.960833333333333,NA
"79",1958,4.346456688,8.77375,NA,NA,NA,NA,NA,36.7433727755892,NA,1576923377182,-1.357916,NA,0.8325,NA
"80",1959,4.358267712,8.73266666666667,NA,NA,NA,NA,NA,37.2482552972989,NA,1638316188497,-0.125907,2.81889615972705,0.136666666666667,NA
"81",1960,4.503937003,8.58375,NA,NA,NA,NA,NA,37.7485858735093,NA,1751856694173,-1.15004,3.79626811035839,0.0683333333333333,NA
"82",1961,4.748031491,8.79766666666667,NA,NA,NA,NA,NA,38.2617815513442,NA,1765317094855,-2.191756,3.41035935774729,-0.0166666666666667,NA
"83",1962,4.543307082,8.74591666666667,NA,NA,NA,NA,NA,38.7897690025375,NA,1836014016143,-3.028738,3.98354645828271,-0.215,NA
"84",1963,4.480314956,8.856,NA,NA,NA,NA,NA,39.3274894180074,NA,1919424571799,-1.974558,3.67531609427236,0.6575,NA
"85",1964,4.169291334,8.40966666666667,NA,NA,NA,NA,NA,39.8749080411051,NA,1946670963025,-0.999268,4.64190598874136,-0.341666666666667,NA
"86",1965,4.610236216,8.52741666666667,NA,NA,NA,NA,NA,40.4199746150655,NA,2094529301420,-3.65106,3.42908875021267,0.900833333333333,NA
"87",1966,4.397637791,8.59933333333333,NA,NA,NA,NA,NA,40.9659585973573,NA,2155354004443,-3.879088,4.63405571770498,0.375,NA
"88",1967,4.452755901,8.70008333333333,NA,NA,NA,NA,NA,41.5077341333013,NA,2133103824801,-3.258875,5.01755487980385,-0.306666666666667,NA
"89",1968,4.484251964,8.51633333333333,NA,NA,NA,NA,NA,42.0657116169157,NA,2349150276457,-4.560177,5.92745443062747,0.135,NA
"90",1969,4.751968499,8.59508333333333,NA,NA,NA,NA,NA,42.6248658063935,NA,2358734737509,-4.898119,4.46999853694872,0.745,NA
"91",1970,4.67716535,8.70091666666667,NA,NA,NA,NA,NA,43.1870087280273,NA,2362057426681,-5.943489,4.7791564065867,-0.32,NA
"92",1971,4.881889759,8.59925,NA,NA,NA,NA,NA,43.7613539749733,NA,2435749010145,-3.910183,6.68152920029558,-0.94,NA
"93",1972,5.240157475,8.49958333333333,NA,NA,NA,NA,NA,44.3170368781163,NA,2547232873087,-2.54613,5.68173374563396,0.9275,NA
"94",1973,5.003937003,8.94825,NA,NA,NA,NA,NA,44.8722176281171,NA,2606315331685,-3.276274,6.55387026567699,-0.6175,NA
"95",1974,5.472440939,8.4675,NA,NA,NA,NA,NA,45.4090200217743,NA,2724754347202,-3.247772,8.83093131485682,-0.886666666666667,NA
"96",1975,5.409448813,8.74483333333333,NA,NA,NA,NA,NA,45.8319605645103,NA,2638242268253,-2.137013,7.29967748491938,-1.0525,NA
"97",1976,5.370078735,8.34725,NA,NA,NA,NA,NA,46.3463377780509,NA,2739688119549,-0.842684,7.89937198114916,-0.0491666666666667,NA
"98",1977,5.303149601,8.85025,NA,NA,NA,NA,NA,46.8509493329789,NA,2790536167979,1.487195,6.55816221796723,0.511666666666667,NA
"99",1978,5.555118105,8.69275,NA,NA,NA,NA,12.9768382352941,47.3472607250185,NA,2991132085753,0.186941,7.98735895007707,-0.0983333333333333,NA
"100",1979,5.362204719,8.73341666666667,NA,NA,336.85,NA,12.0193489010989,47.8236637226654,NA,3110120552704,-1.640448,6.77458561031345,0.250833333333333,NA
"101",1980,5.598425191,8.98033333333333,NA,NA,338.91,NA,11.785218579235,48.3071411340946,NA,3073437838693,1.813644,5.73397891985146,0.253333333333333,NA
"102",1981,6.086614167,9.16583333333333,NA,NA,340.11,NA,11.7761475409836,48.7867841345573,NA,3053974246703,0.533019,7.41540949435549,-0.268333333333333,NA
"103",1982,5.858267711,8.63916666666667,NA,NA,340.85,NA,12.0487554945055,49.2384861450829,NA,3067192207543,-1.675871,6.82395894702408,0.99,NA
"104",1983,6.188976372,9.02816666666667,NA,NA,342.53,NA,11.8529043715847,49.6779357778015,NA,3033538895562,2.378227,5.46863533949858,0.48,NA
"105",1984,6.153543301,8.69183333333333,1644.85,NA,344.07,NA,11.6811393442623,50.1217496701005,NA,3115820776136,-2.455978,8.25360193619559,-0.505833333333333,NA
"106",1985,5.74803149,8.658,1657.29,NA,345.54,NA,11.8102142857143,50.5657850996015,NA,3128754701301,1.808964,8.31306866151604,-0.598333333333333,NA
"107",1986,5.771653537,8.83358333333333,1670.09,NA,346.97,NA,11.6397732240437,51.0123935277531,NA,3233087696664,1.70314,7.93662121195361,0.253333333333333,NA
"108",1987,5.795275585,8.99441666666667,1682.7,NA,348.68,NA,12.1494113636364,51.4598313446897,NA,3271390124759,-1.371921,6.15893844825801,1.27666666666667,NA
"109",1988,5.980314955,9.20158333333333,1693.16,NA,351.16,NA,11.8891793785311,51.8932190251115,NA,3338411792004,0.316734,8.09425290404794,-0.810833333333333,NA
"110",1989,6.157480309,8.922,1704.53,NA,352.79,NA,11.6962671232877,52.2934377277262,NA,3369048487620,2.184499,9.68600434987324,-0.605,NA
"111",1990,6.232283458,9.23416666666667,1714.43,NA,354.06,NA,11.5517178082192,52.676898324123,NA,3321357298152,-1.216034,8.54339402951971,0.315,15119132.1105737
"112",1991,6.334645663,9.17941666666667,1724.82,NA,355.39,NA,11.6470657534247,53.0207275696814,NA,3417687603175,3.209013,8.59770759283103,0.646666666666667,14782618.2474052
"113",1992,6.35826771,8.83658333333333,1735.47,NA,356.09,NA,11.7545491803279,53.2997441231787,NA,3319438058851,1.039358,8.41824045861697,0.630833333333333,14311850.2980701
"114",1993,6.291338576,8.86658333333333,1736.5,NA,356.83,NA,11.671495890411,53.5665234660886,NA,3358249157599,0.014944,9.08689891390578,0.3125,14153994.5971751
"115",1994,6.405436538,9.03875,1742.07,NA,358.33,NA,11.8926438356164,53.822744847365,NA,3464070203270,-0.640411,7.73529050068332,0.475,13984571.1040334
"116",1995,6.5550274305,9.34708333333333,1748.88,NA,360.17,NA,11.6049328767123,54.067237615521,NA,3420212914562,2.082141,8.17464226297648,-0.16,14055406.3917683
"117",1996,6.7189671075,9.03891666666667,1751.28,NA,361.93,NA,11.8049576502732,54.3142730707301,NA,3338874861936,7.236955,9.99204019142597,-0.46,14314617.7870026
"118",1997,6.903481543,9.20258333333333,1754.53,NA,363.05,NA,11.5288328767123,54.5868017708853,NA,3441859120538,3.687088,9.81788315779296,1.17083333333333,14251284.9325192
"119",1998,6.765192368,9.52266666666667,1765.54,NA,365.7,4.21,11.7478767123288,54.8131358373725,NA,3495761711662,5.32325,8.11408489648576,-0.0575,14216268.1583355
"120",1999,6.9277216295,9.28508333333333,1772.34,NA,367.8,4.38,11.7260739726027,55.084862184393,NA,3651048141907,5.638433,10.3442191853008,-1.225,14291207.9905111
"121",2000,6.9843921025,9.20116666666667,1773.33,NA,368.96,4.58,11.6277008196721,55.3723801911277,NA,3785948890323,5.757782,10.6937482068968,-0.835833333333333,14543527.6891363
"122",2001,7.1727021735,9.41458333333333,1771.22,316.36,370.57,4.78,11.6363205479452,55.7045408799105,NA,3861642393124,2.730675,9.38996912131906,-0.308333333333333,14543332.7175732
"123",2002,7.3359490865,9.57041666666667,1772.66,316.94,372.58,4.98,11.2922369863014,56.0104459706471,-151.941428571429,3806857575151,7.580072,8.15826312658259,0.630833333333333,14594792.6585278
"124",2003,7.6107279655,9.52558333333333,1777.33,317.63,375.15,5.23,11.6832547945205,56.3121222684509,-351.260909090909,3723071436326,9.989262,9.85918181698268,0.250833333333333,14828332.1784501
"125",2004,7.6070105245,9.32458333333333,1777.05,318.26,376.95,5.45,11.6009658469945,56.6160742095698,-713.814166666667,3852973536488,9.882789,11.2816492874017,0.446666666666667,14996303.3353231
"126",2005,7.675130897,9.70091666666667,1774.16,318.91,378.98,5.67,11.3009273972603,56.9275382607877,-892.920833333333,3827437377208,8.463406,9.9610329768049,0.0408333333333333,15061906.3213563
"127",2006,7.7846668905,9.5325,1774.95,319.82,381.15,5.91,11.1167630136986,57.2346353257267,-1053.75416666667,3992199319449,9.907466,11.4639403496867,0.0716666666666667,15071256.4966688
"128",2007,7.8273270185,9.73216666666667,1781.37,320.44,382.9,6.18,11.080601369863,57.5257945096953,-1514.93416666667,4003664798444,8.81155,11.3080710132371,-0.6075,15195932.220845
"129",2008,8.1065829005,9.43175,1787.01,321.5,385.02,6.46,11.6086270491803,57.8366201634828,-2050.42,3948326264862,10.336976,12.3868404996706,-0.781666666666667,14818072.9814074
"130",2009,8.289849066,9.50525,1793.53,322.27,386.5,6.75,11.4902808219178,58.1462239667629,-2253.40166666667,4072946984929,9.101278,11.6003703124463,0.281666666666667,13766283.1250891
"131",2010,8.483715596,9.70308333333333,1798.93,323.19,388.76,7.04,11.4090917808219,58.4551536623568,-2912.74083333333,3871886184482,9.614333,12.4274632952236,-0.479166666666667,14266236.5087432
"132",2011,8.47072258,9.516,1803.14,324.21,390.63,7.3,10.9920342465753,58.7537025092115,-3476.75444444444,NA,10.042295,13.5214675279325,-0.860833333333333,14123504.298909
"133",2012,8.8620744885,9.50733333333333,1808.12,325.05,392.65,7.6,11.2052677595628,59.0455747660576,-4005.02454545455,NA,10.098619,11.8695800050722,-0.150833333333333,13925808.9502315
"134",2013,8.7324286435,9.6065,1813.41,325.94,395.4,7.91,11.7103602739726,59.3302018275468,-4563.61555555556,NA,12.048531,13.1979928826283,-0.3225,13936118.8834742
"135",2014,8.598323546,9.57066666666667,1822.57,327.09,397.34,8.25,11.7833109589041,59.6138775475168,-4933.32111111111,NA,13.165339,13.3734448290133,0.116666666666667,13746102.9863584
"136",2015,8.943307703,9.831,1834.26,328.17,399.65,8.58,11.4899589041096,59.9037719012655,-5467.51333333333,NA,14.841905,11.7135183979071,1.46083333333333,NA
